id,title,category,priority,difficulty,bundle,summary,methods,metrics,wedge
R01,Learned Bandwidth Throttling for Mobile Users,Core Runtime,P0,Medium,Runtime and UX Foundation,"Adapt upload pacing to recipient network quality on phones, LTE links, and unstable Wi-Fi without manual tuning.","Start with EWMA-based RTT/loss estimation, then layer a small contextual bandit or TinyML policy over QUIC pacing and chunk scheduling.","Completion time, goodput, tail latency, fairness, retransmission rate, and energy per gigabyte.",Ship heuristic pacing first and treat the model as a learnable replacement once telemetry is available.
R02,Zero-Knowledge Proof of File Delivery,Verifiability & Security,P1,High,Proof-Carrying Sharing,Prove that the recipient received the file matching a published Merkle root without exposing the file contents.,"Use staged evidence: signed segment receipts, a final authenticated delivery receipt, and optional Halo2 or Plonky-style succinct proof wrapping the receipt chain.","Proof size, prover time, verifier time, and additional transfer overhead per file.",Do not block MVP on ZK; implement signed receipts first and add succinct proof generation behind a feature flag.
R03,Per-File Differential Privacy for Exposed Metadata,Privacy & Policy,P1,Medium,Private Edge Sharing,"Protect outward-facing metadata such as public filenames, approximate sizes, and timestamps without corrupting canonical internal file records.","Apply alias labels, size bucketing, timestamp coarsening, and a bounded privacy-budget ledger for metadata surfaces that leave the local host.","Privacy loss budget, inference error, usability cost, and storage overhead introduced by padding.",Make the feature opt-in and separate user-visible aliases from internal immutable manifests.
R04,Verifiable Conflict-Free Delivery,Core Runtime,P1,High,Runtime and UX Foundation,Allow concurrent updates or multi-uploader handoff while preserving deterministic final state and auditability.,"Combine a Merkle DAG, CRDT-style causal metadata, and merge receipts signed by participating devices.","Convergence rate, merge determinism, proof size, and user-visible conflict rate.",Begin with append-only immutable files and later extend to multi-writer manifests.
R05,Energy-Aware Upload Scheduling,Intelligence & Operations,P0,Low,Runtime and UX Foundation,Delay or reshape large uploads when the host is on battery or under thermal pressure while still honoring urgent transfers.,"Use OS battery state, thermal hints, and a priority queue with deadline-aware admission control.","Joules per gigabyte, completion-rate under deadlines, battery drain, and user override frequency.",Implement rule-based scheduling first; later learn better thresholds from local history.
R06,UPnP / NAT-PMP Automatic Port Forwarding with Proof,Reachability,P0,Medium,Verifiable Home Reachability,"Automatically request router mappings so a home PC can expose a share link while it is online, then record evidence of successful reachability.","Probe IGD or NAT-PMP, create mappings, run an external echo test, and sign a reachability descriptor bound to the current share session.","Mapping success rate, time to public reachability, failure causes, and relay fallback rate.",Use signed external probes in the first release; any ZK representation of reachability is strictly a later optimization.
R07,Privacy-Preserving Public Relay,Reachability,P1,High,Relay Trust and Fallbacks,"Provide an optional relay for cases where home routers or ISPs block direct access, without exposing file contents to the relay operator.","Terminate only encrypted transport metadata, use blinded session identifiers, and forward ciphertext over QUIC streams.","Relay overhead, latency inflation, metadata surface, and relay utilization ratio.",Keep relay stateless where possible and separate accounting from payload forwarding.
R08,WebRTC / ICE Hole-Punching with Verifiable Direct Connection,Reachability,P1,High,Verifiable Home Reachability,"Attempt direct peer connectivity before resorting to a relay, and keep evidence of which path was selected.","Use ICE candidate gathering with STUN and TURN assistance, then sign the selected candidate pair and bind it to the share session.","Direct-path success rate across NAT types, setup latency, and relay avoidance percentage.",Treat ICE as a secondary transport path after ordinary public-port reachability.
R09,Dynamic DNS with Cryptographic Binding,Reachability,P1,Medium,Verifiable Home Reachability,Bind a short name to the currently reachable host address while preventing stale or unauthorized rebinding.,Publish signed address updates linked to the host identity key and optionally mirrored in an append-only public binding log.,"Update latency, stale-resolution rate, key continuity, and rebinding failure rate.",Start with a simple rendezvous name and signed JSON descriptor before integrating external DNS APIs.
R10,Verifiable Link Expiration,Reachability,P0,Medium,Proof-Carrying Sharing,Ensure shared links expire on time and leave auditable evidence that the capability is no longer valid.,"Use capability tokens with explicit expiry epochs, revocation manifests, and signed expiry events tied into the audit tree.","Expiry precision, post-expiry access rejection rate, and revocation propagation delay.",Start with deterministic token expiry and then add deletion evidence for associated storage objects.
